Metabolic Control Analysis Result:

A steady state was found. All coefficients are shown.

Unscaled elasticities
Unscaled elasticity matrix
Rows:    Reactions (reduced system)
Columns: Species (reduced system)
	P	Hout	ADP	Q	NAD	PYR	GAP	NADP	F6P	ACCOA	PEP	PGN	MAL	SUC	OAA	ACE	tkt	RU5P	G6P	AMP	ICIT	DAP	eiia	GLCx	ACEx	Pp	PGA3	ei	icd	S7P	ACO	GL6P	SUCCOA	FAD	E4P	PGA2	KDPG	ACEp	FUM	eiicb	X5P	ACP	BPG	GLCp	GLX	R5P	hprP	talC3	CIT	ATP	AKG	FDP	CAMP	NADPH	FADH2	eiiaP	tal	QH2	hpr	icdP	NADH	eiP	eiicbP	tktC2
GLX	-0.00197725	-0.00566983	-4.33145e-05	-7.86572e-06	0.000783202	1.02749e-08	3.66489e-05	0.000111069	0.00653754	0.00914496	-3.67826e-06	0.00163804	9.42693e-05	-0.000389456	-0.000524355	-0.000171704	-7.98973e-05	-0.000896195	-0.0182588	0.00562942	-0.00016079	0.00012038	-0.00578484	0.00713456	0.000125031	0.00438674	4.71315e-07	4.0452e-07	-0.0133631	-0.00904589	4.93115e-07	0.0163529	2.60971e-05	6.86478e-05	-6.86478e-05	0.0842705	-0.116924	0.969484	-0.969524	-0.00596677	-0.00050016	-0.000347114	-0.00294455	-0.000793116	-2.04617e-05	0.0597461	-0.0590338	0.000670729	3.90068e-07	8.15868e-05	1.25773e-07	1.44736e-05	7.89249e-07	8.32667e-17	3.60822e-16	0.00344683	0.00084425	0.00185638	-0.000407987	-18.2934	-4.04106e-05	-1.66533e-16	0.000267708	7.20915e-09	-1.54554e-06	-0.00278165	-1.54554e-06	-3.67826e-06
R5P	0.00909249	-0.0830297	0.00123717	0.000224665	-0.00230608	-3.02538e-08	0.000246424	0.000746816	-0.036309	0.268023	0.000145656	0.152118	-0.0504482	0.129598	-0.209072	-0.0435638	-0.0379288	-0.0517306	-1.05394	0.0599314	-0.0271273	0.00402904	0.0414988	-0.0279459	-0.00277644	0.034652	-0.000146634	-0.000125853	-0.02468	0.101097	-2.73872e-06	0.0246632	3.00583e-05	-0.00317459	0.00317459	0.132857	0.016181	1.79027	-1.81337	-0.430294	-0.0360691	0.027696	0.0649993	-0.0282881	-0.0121064	2.08249	-2.1004	0.00463065	-4.098e-06	0.000563268	4.38391e-06	0.000504485	2.75098e-05	-1.38778e-16	-6.80012e-16	0.10669	0.0307386	0.00279977	-0.00750865	-643.677	-0.0230983	-2.63678e-16	0.124305	3.34742e-06	5.58106e-05	0.100447	5.58106e-05	0.000145656
hprP	5.58948e-06	1.56228e-05	2.19017e-07	3.97724e-08	-3.25007e-06	-4.26382e-11	-5.2508e-08	-1.59131e-07	-2.45679e-05	-2.34985e-08	2.73124e-08	3.91554e-06	-5.67576e-07	2.076e-06	1.06475e-06	-8.17905e-07	4.46727e-07	3.58434e-06	7.30263e-05	-1.71472e-05	-2.76157e-07	-1.24824e-06	2.05719e-05	-2.51515e-05	0.000101145	-3.98795e-06	-2.88427e-09	-2.47551e-09	1.05504e-05	-7.52784e-06	-1.85311e-09	-1.34383e-05	-2.15872e-08	-1.09355e-07	1.09355e-07	-6.69207e-05	-8.15044e-06	-0.000765438	0.000763913	-6.93154e-06	-5.81031e-07	1.62345e-06	-5.74228e-07	2.47151e-06	-8.7297e-07	-0.000189421	0.000183901	-3.56277e-06	2.39027e-10	-4.33372e-07	6.79439e-06	0.000781873	-2.50227e-09	3.25261e-19	-3.90313e-18	-0.000900029	-1.09404e-06	-1.52552e-06	-7.73918e-07	0.0906661	-1.5244e-06	-2.81893e-18	8.61481e-06	2.31989e-10	-1.4414e-08	-2.59421e-05	-1.4414e-08	2.73124e-08
talC3	0.00063072	-0.0028048	1.37182e-05	2.49117e-06	0.00904468	1.18659e-07	9.13436e-06	2.76827e-05	-0.00117715	0.00230368	2.21396e-06	-0.00027906	0.000276768	-0.000672678	0.00134167	0.00192758	-0.000158501	-0.00343504	-0.00191774	0.00202201	-0.000947516	0.000164727	0.00134373	-0.000742069	2.43223e-05	0.00129521	-5.0945e-06	-4.3725e-06	-0.000759925	0.00402638	-8.87904e-08	0.000740696	8.56774e-07	-0.000112435	0.000112435	0.00400133	0.000487331	0.0551239	-0.0559067	0.00126458	0.000106002	0.00081371	0.00128734	-0.000949367	-0.000413712	0.0698751	-0.0704913	0.00014856	-5.39901e-08	1.80707e-05	1.47096e-07	1.69273e-05	9.23054e-07	6.93889e-18	1.35308e-16	-0.0105237	0.000512513	8.40839e-05	-0.000382792	-24.5466	-0.000782789	5.55112e-17	0.00418739	1.12763e-07	1.032e-06	0.00185738	1.032e-06	2.21396e-06
CIT	-0.00354158	0.122384	-0.00126089	-0.000228972	0.148521	1.94847e-06	0.00053225	0.00161304	0.118658	0.238235	-3.83811e-05	-0.0753915	0.0248862	-0.0664436	0.0888868	0.147429	-0.0153111	-0.0367502	-0.748739	-0.0905346	0.000930964	0.0309186	-0.148627	0.1369	0.00782337	0.0930319	-0.0272851	-0.0234183	-0.560407	-0.0388738	8.95013e-06	-0.128505	-0.000205194	-0.00131764	0.00131764	-0.682841	-0.0831649	40.6574	-40.6256	0.21608	0.0181128	-0.0391096	-0.0538609	0.0618191	0.0186189	-4.58606	4.58794	-0.0267423	2.57159e-05	-0.00325291	-9.65427e-06	-0.00111098	-6.05822e-05	0	3.88578e-16	0.483301	-0.0580273	-0.0145879	0.0113588	-2546.51	0.0318496	1.44329e-15	-0.192054	-5.17186e-06	-0.000342375	-0.616203	-0.000342375	-3.83811e-05
ATP	-0.0543373	0.161306	-0.0011513	-0.000209072	0.446831	5.86204e-06	0.00225028	0.00681972	0.463561	0.646844	-0.000261446	0.0622883	0.0630815	-0.170643	0.202287	0.35246	-0.038977	-0.112776	-2.29766	-0.394358	-0.265923	0.032871	-1.46717	0.576465	0.0166043	0.499518	-0.00138618	-0.00118973	-0.12125	1.17411	3.49656e-05	0.116215	9.38607e-05	-0.0339029	0.0339029	0.549891	0.0669726	8.79419	-9.02725	-0.22573	-0.0189216	0.243364	0.390092	0.770552	-0.124248	-58.3771	57.1405	-0.894406	-0.000403745	-0.108795	-0.000122892	-0.0141419	-0.000771165	2.22045e-16	-2.88658e-15	-0.274459	0.139259	0.0131928	-0.113937	-6652.01	-0.233052	-2.9976e-15	1.25607	3.38248e-05	0.000921403	1.65833	0.000921403	-0.000261446
AKG	0.0508053	0.356948	-0.00356959	-0.000648221	0.229547	3.01146e-06	0.000454882	0.00137857	0.170766	-0.655897	-0.000447536	-0.404424	0.0435697	-0.117378	0.160849	0.264765	-0.0272141	-0.060543	-1.23349	-0.25649	0.0413531	0.0591047	-0.179255	0.129317	0.0185881	0.129074	0.000281842	0.0002419	0.400959	-3.42813	1.28806e-05	-0.473281	-0.000742602	0.000696529	-0.000696529	-2.48282	-0.302389	-29.0883	29.1887	1.17462	0.0984619	-0.0574146	0.289401	0.108948	0.058207	-7.99876	8.09073	-0.00767485	0.000118637	-0.000933561	-1.68385e-05	-0.00193771	-0.000105664	-4.44089e-16	1.9984e-15	1.63252	0.0749867	-0.0537269	0.10125	-4449.82	0.100458	3.55271e-15	-0.571492	-1.53898e-05	-0.00118742	-2.1371	-0.00118742	-0.000447536
FDP	0.0160383	0.0426919	-0.0646517	-0.0117405	-1.45388	-1.90736e-05	7.43593e-05	0.000225354	0.0467185	-0.561923	-0.000272673	0.249074	0.00304401	-0.00705922	0.00631756	0.0120591	-0.0014737	-0.00773847	-0.157662	-0.0257152	0.0111625	0.00581416	-0.0455936	0.0485609	-0.0038478	0.00604999	6.68485e-05	5.73746e-05	0.00244131	0.0630721	3.52389e-06	0.000129746	4.06933e-06	0.00132875	-0.00132875	-0.00505823	-0.000616054	-0.176938	0.193915	-0.739892	-0.0620209	-0.0213929	-0.0434548	0.0158518	0.0097167	-1.15869	1.17679	0.00100763	-5.34979e-06	0.000122567	-2.43919e-06	-0.000280693	-1.53063e-05	2.22045e-16	0	2.5324	-0.0227209	1.47288e-05	0.0053005	-315.33	0.0169767	2.66454e-15	-0.09953	-2.68025e-06	5.57868e-05	0.100404	5.57868e-05	-0.000272673
CAMP	-0.017564	0.0539851	-0.000343176	-6.23192e-05	0.147542	1.93563e-06	0.000737846	0.00223613	0.151485	0.211406	-8.54255e-05	0.0210483	0.0207429	-0.0560842	0.0666512	0.116005	-0.0128115	-0.0369634	-0.753082	-0.134566	-0.0906645	0.010084	-0.514184	0.187263	0.00911562	0.168696	-0.000473125	-0.000406073	-0.0395799	0.386152	1.14262e-05	0.0373231	2.83234e-05	-0.0115621	0.0115621	0.176315	0.0214739	2.87065	-2.95123	-0.0757023	-0.00634569	0.0792968	0.128165	0.282119	-0.0359729	97.641	-98.0842	-0.323236	-0.000144999	-0.0393181	0.000205547	0.0236536	0.00128984	-3.17231e-17	-1.16307e-15	-0.126452	0.044728	0.00423692	-0.0372566	-2185.87	-0.0805804	-9.99201e-16	0.364573	9.81762e-06	0.000324053	0.583226	0.000324053	-8.54255e-05
NADPH	-0.0109807	0.0111432	-0.000136148	-2.47239e-05	0.0469445	6.15872e-07	0.000221753	0.000672048	0.0368271	0.27821	6.83235e-05	0.0267407	0.00714111	-0.018785	0.0251132	0.0415674	-0.00430495	-0.0107453	-0.218921	-0.00292423	-0.000791941	0.00901093	-0.033485	0.0545016	0.00132434	0.0268579	4.00501e-06	3.43742e-06	0.000926622	0.141142	2.7778e-06	-0.000145765	-5.07101e-07	-0.000207004	0.000207004	-0.0052199	-0.000635744	-0.0671401	0.0753591	-0.0784923	-0.00657956	-0.0217057	-0.10032	0.00487683	0.00461619	-0.350355	0.361916	0.00297795	1.97126e-06	0.000362235	-7.37544e-07	-8.48739e-05	-4.62821e-06	-1.38778e-17	2.56739e-16	-0.0422135	-0.0575465	-1.65472e-05	-0.00887051	-726.649	0.00821899	2.70617e-16	-0.0525422	-1.41491e-06	-9.2057e-06	-0.0165683	-9.2057e-06	6.83235e-05
FADH2	-0.0124706	0.0306311	-0.000967823	-0.000175752	0.0824618	1.08183e-06	0.000516532	0.00156541	0.109225	0.101676	-8.15305e-05	-0.0211757	0.0135693	-0.0371938	0.0421684	0.0749961	-0.00849644	-0.0255566	-0.520684	-0.00771409	0.00352668	0.0193904	-0.102314	0.104715	0.00485869	0.049268	3.63015e-05	3.11569e-05	-0.0293428	0.252183	8.23866e-06	0.0391712	6.38658e-05	0.000604751	-0.000604751	0.190488	0.0232	2.12904	-2.10612	0.0503895	0.00422386	-0.0103619	0.0774963	0.0160058	0.0119497	-1.1578	1.18763	0.0061434	2.05599e-05	0.000747277	-2.43732e-06	-0.000280478	-1.52946e-05	-5.55112e-17	5.55112e-16	0.622558	-0.309985	-0.276275	0.0245049	-1450.75	0.022917	1.44329e-15	-0.14955	-4.02726e-06	-0.000180453	-0.324777	-0.000180453	-8.15305e-05
eiiaP	0.000398104	0.00111271	1.55992e-05	2.83274e-06	-0.000231483	-3.03685e-09	-3.73982e-06	-1.13339e-05	-0.00174982	-1.67365e-06	1.94529e-06	0.00027888	-4.04249e-05	0.000147861	7.58358e-05	-5.82543e-05	3.18176e-05	0.00025529	0.00520121	-0.00122129	-1.9669e-05	-8.89046e-05	0.00146521	-0.00179139	0.00720391	-0.000284037	-2.05429e-07	-1.76315e-07	0.000751437	-0.000536161	-1.31985e-07	-0.00095713	-1.53752e-06	-7.78869e-06	7.78869e-06	-0.00476635	-0.000580505	-0.0545174	0.0544088	-0.00049369	-4.13832e-05	0.000115628	-4.08987e-05	0.00017603	-6.21763e-05	-0.0134913	0.0130981	-0.000253754	1.70244e-08	-3.08664e-05	0.000483922	0.055688	0.00303669	1.38778e-17	-2.35922e-16	-0.0671404	-7.79218e-05	-0.000108653	-5.51213e-05	6.45758	-0.000108574	-2.498e-16	0.000613579	1.65232e-08	-1.02662e-06	-0.00184769	-1.02662e-06	1.94529e-06
tal	-0.00063072	0.0028048	-1.37182e-05	-2.49117e-06	-0.00904468	-1.18659e-07	-9.13436e-06	-2.76827e-05	0.00117715	-0.00230368	-2.21396e-06	0.00027906	-0.000276768	0.000672678	-0.00134167	-0.00192758	0.000158501	0.00343504	0.00191774	-0.00202201	0.000947516	-0.000164727	-0.00134373	0.000742069	-2.43223e-05	-0.00129521	5.0945e-06	4.3725e-06	0.000759925	-0.00402638	8.87904e-08	-0.000740696	-8.56774e-07	0.000112435	-0.000112435	-0.00400133	-0.000487331	-0.0551239	0.0559067	-0.00126458	-0.000106002	-0.00081371	-0.00128734	0.000949367	0.000413712	-0.0698751	0.0704913	-0.00014856	5.39901e-08	-1.80707e-05	-1.47096e-07	-1.69273e-05	-9.23054e-07	-6.93889e-18	-1.35308e-16	0.0105237	-0.000512513	-8.40839e-05	0.000382792	24.5466	0.000782789	-5.55112e-17	-0.00418739	-1.12763e-07	-1.032e-06	-0.00185738	-1.032e-06	-2.21396e-06
QH2	-0.0114012	0.0221675	-0.000669919	-0.000121654	0.0682917	8.95929e-07	0.000416964	0.00126366	0.0860633	0.12492	-4.66426e-05	0.000127006	0.0109644	-0.0298743	0.0343837	0.0607098	-0.00682028	-0.0203228	-0.41405	-0.00484149	0.00188647	0.0154395	-0.0801772	0.0822865	0.00351935	0.0400371	2.38046e-05	2.0431e-05	-0.0244713	0.201874	6.4916e-06	0.0323574	5.24012e-05	0.000376956	-0.000376956	0.157864	0.0192266	1.77556	-1.75823	-0.00894698	-0.000749974	-0.00637041	0.0681612	0.0114399	0.00863764	-0.825628	0.84884	0.00523644	1.26632e-05	0.000636955	-1.73806e-06	-0.000200009	-1.09066e-05	0	4.44089e-16	0.527354	-0.325334	0.00367322	0.0195932	-1166.11	0.017326	1.11022e-15	-0.118093	-3.18014e-06	-0.000106221	-0.191175	-0.000106221	-4.66426e-05
hpr	-5.58948e-06	-1.56228e-05	-2.19017e-07	-3.97724e-08	3.25007e-06	4.26382e-11	5.2508e-08	1.59131e-07	2.45679e-05	2.34985e-08	-2.73124e-08	-3.91554e-06	5.67576e-07	-2.076e-06	-1.06475e-06	8.17905e-07	-4.46727e-07	-3.58434e-06	-7.30263e-05	1.71472e-05	2.76157e-07	1.24824e-06	-2.05719e-05	2.51515e-05	-0.000101145	3.98795e-06	2.88427e-09	2.47551e-09	-1.05504e-05	7.52784e-06	1.85311e-09	1.34383e-05	2.15872e-08	1.09355e-07	-1.09355e-07	6.69207e-05	8.15044e-06	0.000765438	-0.000763913	6.93154e-06	5.81031e-07	-1.62345e-06	5.74228e-07	-2.47151e-06	8.7297e-07	0.000189421	-0.000183901	3.56277e-06	-2.39027e-10	4.33372e-07	-6.79439e-06	-0.000781873	2.50227e-09	-3.25261e-19	3.90313e-18	0.000900029	1.09404e-06	1.52552e-06	7.73918e-07	-0.0906661	1.5244e-06	2.81893e-18	-8.61481e-06	-2.31989e-10	1.4414e-08	2.59421e-05	1.4414e-08	-2.73124e-08
icdP	-1.23855e-05	3.67672e-05	-2.63811e-07	-4.79069e-08	0.000101846	1.33614e-09	5.13001e-07	1.55471e-06	0.000105721	0.000147171	-5.97635e-08	1.40452e-05	1.43808e-05	-3.89038e-05	4.61095e-05	8.03472e-05	-8.88614e-06	-2.57155e-05	-0.00052392	-8.97655e-05	-6.05949e-05	7.59659e-06	-0.000310494	0.000131508	3.84511e-06	0.000112005	-3.16447e-07	-2.716e-07	-2.76415e-05	0.000267645	7.97435e-09	2.64816e-05	2.13879e-08	-7.72561e-06	7.72561e-06	0.000125291	1.52595e-05	0.308578	-0.308631	-5.10181e-05	-4.27655e-06	5.53787e-05	8.88912e-05	0.000151775	-2.82968e-05	-0.011513	0.0112552	-0.000182492	-8.31994e-08	-2.21982e-05	-2.42364e-08	-2.78904e-06	-1.52087e-07	0	-6.50521e-19	-6.19687e-05	3.17138e-05	3.0062e-06	-2.59165e-05	-1.51656	-5.29983e-05	8.67362e-19	0.00028606	7.70335e-09	1.96032e-07	0.000352815	1.96032e-07	-5.97635e-08
NADH	-0.00861527	0.0182354	-0.000451563	-8.20018e-05	0.0529717	6.94943e-07	0.000306468	0.000928788	0.0624882	0.114018	-2.47072e-05	0.0078581	0.00841882	-0.0227926	0.0269091	0.0469701	-0.00520543	-0.0151303	-0.30826	-0.00454826	0.0021651	0.0115221	-0.0566328	0.112451	0.00246277	0.0338349	2.34366e-05	2.01151e-05	-0.0136327	0.158674	4.71337e-06	0.0186685	3.06051e-05	0.000229717	-0.000229717	0.0895159	0.0109024	0.989186	-0.975499	-0.0287151	-0.00240702	-0.0588905	0.0565987	0.0078318	0.00699213	-0.561673	0.581216	0.0052129	8.37037e-06	0.000634092	-1.1824e-06	-0.000136066	-7.41974e-06	0	3.88578e-16	0.423369	-0.186416	0.00211925	-0.0382112	-888.765	0.0136872	8.32667e-16	-0.0908274	-2.4459e-06	-6.42761e-05	-0.115683	-6.42761e-05	-2.47072e-05
eiP	8.9078e-05	0.000248976	3.49041e-06	6.33843e-07	-5.17956e-05	-6.79514e-10	-8.36806e-07	-2.53604e-06	-0.000391532	-3.7449e-07	4.3527e-07	6.2401e-05	-9.04531e-06	3.30847e-05	1.69687e-05	-1.30347e-05	7.11938e-06	5.71227e-05	0.0011638	-0.00027327	-4.40104e-06	-1.98929e-05	0.00032785	-0.000400834	0.00161192	-6.35549e-05	-4.59659e-08	-3.94516e-08	0.000168139	-0.000119969	-2.95325e-08	-0.000214163	-3.4403e-07	-1.74277e-06	1.74277e-06	-0.0010665	-0.000129891	-0.0121986	0.0121743	-0.000110466	-9.25974e-06	2.58726e-05	-9.15133e-06	3.93878e-05	-1.39123e-05	-0.00301876	0.00293078	-5.6779e-05	3.80931e-09	-6.90654e-06	0.00010828	-7.31298e-07	-3.9878e-08	2.1684e-19	-1.95156e-18	-0.00188229	-1.74355e-05	-2.43118e-05	-1.23337e-05	1.44492	-2.4294e-05	-3.46945e-18	0.000137292	3.69715e-09	-2.29712e-07	-0.000413432	-2.29712e-07	4.3527e-07
eiicbP	1.4079e-07	3.93514e-07	5.51669e-09	1.00181e-09	-8.18644e-08	-1.07401e-12	-1.3226e-09	-4.00828e-09	-6.18827e-07	-5.91892e-10	6.87957e-10	9.86265e-08	-1.42964e-08	5.22913e-08	2.68195e-08	-2.06018e-08	1.12524e-08	9.0284e-08	1.83942e-06	-4.31911e-07	-6.95597e-09	-3.14413e-08	5.18176e-07	-6.33529e-07	2.54768e-06	-1.0045e-07	-7.26505e-11	-6.23544e-11	2.65748e-07	-1.89615e-07	-4.6677e-11	-3.38491e-07	-5.43748e-10	-2.75449e-09	2.75449e-09	-1.68563e-06	-2.05297e-07	-1.92802e-05	1.92418e-05	-1.74595e-07	-1.46353e-08	4.08923e-08	-1.44639e-08	6.22535e-08	-2.19888e-08	-4.77124e-06	4.63219e-06	-8.97408e-08	6.02073e-12	-1.0916e-08	1.7114e-07	1.96942e-05	1.07393e-06	0.000187159	-8.67362e-19	-0.000210903	-2.75572e-08	-3.84255e-08	-1.94938e-08	0.00228374	-3.83973e-08	-2.60209e-18	2.16994e-07	5.84345e-12	-3.63066e-10	-6.53441e-07	-3.63066e-10	6.87957e-10
tktC2	0.00111939	-0.0082899	7.46929e-05	1.35639e-05	0.0266853	3.50089e-07	2.28449e-05	6.92342e-05	-0.00401485	0.0225518	1.3323e-05	0.00511365	0.00426575	-0.0106517	0.0186806	-0.00495869	-0.00377029	-0.00509398	-0.103783	0.00589985	-0.00272067	0.00033062	0.00446864	-0.00304684	-8.30194e-05	0.00329911	-1.47628e-05	-1.26706e-05	-0.00222744	0.00932255	-3.02833e-07	0.00216303	2.51803e-06	-0.000320751	0.000320751	0.0117547	0.00143163	0.161575	-0.163965	-0.013495	-0.00113121	0.00269964	0.00535168	-0.00284384	-0.00126772	0.209216	-0.211152	0.000404735	-1.80172e-07	4.92316e-05	4.40428e-07	5.06828e-05	2.76376e-06	1.04083e-17	-6.93889e-17	-0.0313713	0.00242111	0.000245547	-0.00095814	-59.1075	-0.00239005	-7.63278e-17	0.0129267	3.48105e-07	3.13543e-06	0.00564311	3.13543e-06	1.3323e-05

Scaled concentration control coefficients
Scaled concentration control coefficients
Rows:    Species (reduced system)
Columns: Reactions (reduced system)
	(PGI)	(PFK)	(FBA)	(TPI)	(GDH)	(PGK)	(GPM)	(ENO)	(PYK)	(ZWF)	(PGL)	(GND)	(RPE)	(RPI)	(X5P_GAP_TKT)	(F6P_E4P_TKT)	(S7P_R5P_TKT)	(F6P_GAP_TAL)	(S7P_E4P_TAL)	(FBP)	(PPC)	(PCK)	(PPS)	(MAE)	(PDH)	(GLT)	(ACN_1)	(ACN_2)	(ICD)	(LPD)	(SK)	(SDH)	(FUMA)	(MQO)	(MDH)	(ACEA)	(ACEB)	(ACEK_1)	(ACEK_2)	(EDD)	(EDA)	(NDHI)	(PNT)	(ADK)	(ATP_SYN)	(CYA)	(DOS)	(ACK)	(ACS)	(PTA)	(PTS_0)	(PTS_1)	(PTS_2)	(PTS_3)	(PTS_4)	(_GLC_FEED)	(CYTBO)	(SQR)	(NDHII)	(GROWTH)	(ATP_MAINTENANCE)	(XCH_GLC)	(PIT)	(XCH_P)	(XCH_ACE1)	(_ACE_OUT)	(XCH_ACE2)	(GL6P_HYDROLYSIS)	'Summation Error'
P	-0.0116532	0.0328985	-0.000461893	-8.38777e-05	0.196602	2.57925e-06	0.000988727	0.00299645	0.088287	0.0484993	-1.72803e-05	0.00240408	0.00126731	-0.00511733	0.00404453	0.00236142	-0.000522191	-0.00152068	-0.030982	-3.44233e-05	-0.0148749	0.00747883	-5.45118e-06	0.0165929	0.00884337	0.0919583	-0.000217032	-0.000186274	-0.0181786	0.155781	4.7024e-06	0.0326454	3.86305e-05	-0.0667282	0.0599201	0.0728206	0.008869	0.0175356	-0.0177399	-0.00359395	-0.00030126	0.12246	-0.0239576	-0.00821081	-0.620328	0.179553	-0.178967	0.0032077	7.71255e-07	0.000390181	1.13772e-05	0.00130925	7.13939e-05	1.67377e-16	-1.99806e-15	-0.0617515	0.146831	0.00370591	-0.0777915	-0.217724	-0.150224	-2.08175e-15	0.200787	5.40701e-06	1.87711e-10	3.37841e-07	1.87711e-10	-9.21832e-12	3.54195e-15
Hout	-0.00113391	0.00343189	-3.67579e-05	-6.67508e-06	0.0201443	2.64276e-07	9.80445e-05	0.000297135	0.00875162	0.00483644	-1.70161e-06	0.000301524	0.000127315	-0.000513361	0.000408098	0.000237655	-5.23906e-05	-0.000151668	-0.00309004	-4.23394e-06	-0.00189729	0.000645337	-4.76818e-07	0.00177176	0.000879501	0.0100004	-2.82366e-05	-2.42349e-05	-0.00174293	0.0156968	4.66135e-07	0.00293324	2.95912e-06	-0.00857729	0.00770216	0.0064857	0.000789909	0.00168116	-0.001712	-0.000426808	-3.57769e-05	0.0158226	-0.00241495	-0.00108442	-0.0806833	0.0236808	-0.0236378	0.000386819	1.88377e-07	4.70523e-05	1.50052e-06	0.000172674	9.416e-06	5.79978e-17	2.20392e-15	0.0586131	0.0135563	0.000332982	-0.0115888	-0.0218358	-0.0226643	4.63982e-16	-0.0165015	-4.44371e-07	-3.01544e-11	-5.42715e-08	-3.01544e-11	-9.07738e-13	1.82756e-15
ADP	0.0130411	-0.0424256	0.000319486	5.80172e-05	-0.247552	-3.24767e-06	-0.00117401	-0.00355797	-0.105264	-0.0527866	2.25825e-05	-0.00327098	-0.00152615	0.00615669	-0.00488657	-0.00284772	0.000628317	0.00182154	0.0371116	6.40844e-05	0.0301275	-0.00601796	4.71558e-06	-0.0184031	-0.0107827	-0.130295	0.000457514	0.000392675	0.0222633	-0.187233	-5.60666e-06	-0.0345863	-2.78109e-05	0.135301	-0.121496	-0.0763756	-0.00930197	-0.0214726	0.0220275	0.00474447	0.000397701	-0.128372	0.0281624	0.0176029	0.306507	-0.383931	0.38372	-0.00575972	-1.47927e-06	-0.000700606	-2.43275e-05	-0.00279952	-0.000152659	-8.53566e-17	9.92271e-16	0.080018	-0.137667	-0.00392624	0.0841784	0.26188	0.407909	9.60262e-16	-0.100285	-2.70059e-06	-2.84792e-10	-5.12565e-07	-2.84792e-10	1.20468e-11	4.07726e-14
Q	0.00588388	-0.0125235	0.000378234	6.86857e-05	-0.0813037	-1.06664e-06	-0.000466677	-0.00141432	-0.0417266	-0.022411	8.36782e-06	-1.64144e-05	-0.000569025	0.00231058	-0.00178442	-0.00105275	0.000235686	0.000702287	0.0143082	1.71364e-06	-0.000459433	-0.00523556	3.702e-06	-0.0055932	-0.00412848	-0.0277892	-1.65225e-05	-1.41809e-05	0.00963778	-0.0691138	-2.22247e-06	-0.0207932	-3.36735e-05	-0.00323238	0.00290259	-0.0473983	-0.00577275	-0.00929895	0.00920821	0.000448802	3.76205e-05	0.00737686	0.0106127	-0.000911436	-0.0468075	0.0193452	-0.0198891	-0.000294275	-7.11597e-07	-3.57953e-05	1.2258e-06	0.00014106	7.69207e-06	0	-3.13202e-16	-0.371926	0.700258	-0.00236044	-0.0319249	0.0984102	-0.0666995	-7.83005e-16	0.0207096	5.57691e-07	3.37503e-10	6.07435e-07	3.37503e-10	4.46388e-12	9.87084e-16
NAD	0.00102722	-0.00238016	5.89028e-05	1.06965e-05	-0.0145702	-1.91149e-07	-7.9247e-05	-0.000240167	-0.00699959	-0.00472587	1.02408e-06	-0.000234637	-0.000100943	0.000407284	-0.000322644	-0.000188177	4.15592e-05	0.000120798	0.0024611	3.71933e-07	-0.000121823	-0.000902691	6.04134e-07	-0.00176594	-0.000667471	-0.00542574	-3.75827e-06	-3.22564e-06	0.00124046	-0.0125508	-3.72817e-07	-0.00277163	-4.54381e-06	-0.000455097	0.000408665	-0.00620953	-0.000756274	-0.0011969	0.00118034	0.000332788	2.78957e-05	0.0157554	0.00203598	-0.00014416	-0.00875404	0.00304056	-0.00314635	-6.76823e-05	-1.08672e-07	-8.23281e-06	1.92662e-07	2.21709e-05	1.20899e-06	0	-6.33158e-17	-0.0689847	0.0927025	-0.000314635	0.0143845	0.0173288	-0.0121735	-1.35677e-16	0.00367996	9.90982e-08	4.71843e-11	8.49217e-08	4.71843e-11	5.46302e-13	1.74645e-15
PYR	-0.00871844	-0.00940947	-0.000702179	-0.000127513	0.0538004	7.05815e-07	0.000622101	0.00188535	0.0565828	-0.00546739	-2.54316e-05	-0.00793851	0.000420664	-0.0018449	0.000929557	0.000679427	-0.000186449	-0.000755554	-0.0153934	1.15451e-05	0.00054859	0.00464909	-4.988e-06	0.00841731	-1.11047	0.0236657	1.66781e-05	1.43145e-05	-0.0444951	0.0262115	3.01375e-06	0.0901488	0.000144674	0.0113917	-0.0102294	0.214843	0.0261663	0.0429273	-0.0428437	0.00811522	0.000680252	-0.0201571	-5.55814e-05	0.000580541	0.0506868	-0.0120601	0.0126374	0.000435363	-7.5704e-07	5.29572e-05	-7.64178e-07	-8.79389e-05	-4.79535e-06	-5.38963e-17	5.38963e-16	0.64332	0.0222588	0.0102337	0.012887	-0.0802301	0.0614508	9.70133e-16	-0.0162112	-4.36555e-07	5.02462e-10	9.04326e-07	5.02462e-10	-1.35667e-11	6.14594e-16
